sin	without
embargo	embargo
sin embargo	however
detrás de	behind
por más que	no matter how
de todos modos	anyway
la	the
viejecita	old woman
-	-
que	that
se	himself
había	had
presentado	submitted
tan	so
cordialmente	cordially
era	was
una	a
bruja	witch
cuando	when
encontraba	was finding
niños	children
lo	it
celebraba	was celebrating
comiéndoselos	eating them
.	.
a	to
primera	first
hora	hour
de	of
mañana	morning
,	,
cogió	lifted
bruscamente	sharply
hansel	Hansel
con	with
su	its
dura	hard
mano	hand
le	him
llevó	took
al	to the
establo	barn
y	and
encerró	locked
detrás	behind
reja	fence
tras	after
despertar	to awaken
gretel	Gretel
gritos	shouting
mandó	commanded
hiciese	made
unas	some
buenas	good
comidas	meals
para	to
hermano	brother
fin	end
engordarle	to made him fat
estuviese	was
bien	well
gordo	fat
comería	would eat
por	by
más	more
pobre	poor
lloraba	cried
tenía	had
hacer	to do
todo	all
exigía	demanded
cada	each
iba	was going
comprobar	to check
si	if
engordaba	fattened
él	he
ingenioso	ingenious
sabiendo	knowing
veía	saw
poco	little
-,	-,
en	in
lugar	place
darle	to give him
mostraba	showed
un	a
huesecillo	little bone
pollo	chicken
constatar	to note
el	the
niño	child
no	not
aumentaba	increased
peso	weight
enfadaba	was making angry
muchísimo	a lot
pasadas	past
cuatro	four
semanas	weeks
viendo	watching
decidió	decided
todos	all
modos	modes
día	day
siguiente	following
paraba	stopped
llorar	to mourn
pero	but
sus	his
lágrimas	tears
servían	served
nada	nothing
